fdrp	    467.88	  DATA	28000	1000
fdrp	    468.77	  DATA	29000	1000
fdrp	    468.86	  DATA	30000	1000
 drp	    468.94	  DATA	31000	1000
 snd	    469.00	   ACK	35000	0
 drp	    469.08	  DATA	32000	1000
rdrp	    469.14	   ACK	35000	0
fdrp	    469.21	  DATA	33000	1000
 drp	    469.28	  DATA	34000	1000
rdrp	    469.34	   ACK	35000	0
fdrp	    469.41	  DATA	28000	1000
 drp	    469.47	  DATA	29000	1000
 snd	    469.53	   ACK	35000	0
fdrp	    469.63	  DATA	30000	1000
 drp	    469.70	  DATA	31000	1000
 snd	    469.75	   ACK	35000	0
fdrp	    469.83	  DATA	32000	1000
fdrp	    469.92	  DATA	33000	1000
 drp	    470.09	  DATA	34000	1000
rdrp	    470.20	   ACK	35000	0
 drp	    470.31	  DATA	28000	1000
rdrp	    470.38	   ACK	35000	0
 drp	    470.46	  DATA	29000	1000
rdrp	    470.53	   ACK	35000	0
fdrp	    470.63	  DATA	30000	1000
fdrp	    470.72	  DATA	33000	1000
 drp	    470.80	  DATA	34000	1000
rdrp	    470.86	   ACK	35000	0
fdrp	    470.93	  DATA	35000	638
fdrp	    471.00	  DATA	33000	1000
fdrp	    471.08	  DATA	34000	1000
 rcv	    471.14	  DATA	35000	638
 snd	    471.20	   ACK	35638	0
fdrp	    471.82	  DATA	33000	1000
fdrp	    471.96	  DATA	34000	1000
 drp	    472.04	  DATA	35000	638
rdrp	    472.10	   ACK	35638	0
 drp	    472.17	  DATA	33000	1000
 snd	    472.23	   ACK	35638	0
 drp	    472.31	  DATA	34000	1000
 snd	    472.37	   ACK	35638	0
 drp	    472.47	  DATA	35000	638
rdrp	    472.58	   ACK	35638	0
 drp	    472.63	  DATA	33000	1000
 snd	    472.66	   ACK	35638	0
fdrp	    472.70	  DATA	34000	1000
fdrp	    472.75	  DATA	35000	638
fdrp	    472.78	  DATA	33000	1000
 drp	    472.82	  DATA	34000	1000
rdrp	    472.84	   ACK	35638	0
fdrp	    472.87	  DATA	35000	638
fdrp	    472.90	  DATA	33000	1000
fdrp	    472.93	  DATA	34000	1000
fdrp	    472.96	  DATA	35000	638
fdrp	    472.99	  DATA	35000	638
 drp	    473.02	  DATA	35000	638
 snd	    473.05	   ACK	35638	0
fdrp	    473.08	  DATA	35000	638
fdrp	    473.12	  DATA	35000	638
fdrp	    473.15	  DATA	35000	638
 drp	    473.17	  DATA	35000	638
rdrp	    473.20	   ACK	35638	0
fdrp	    473.23	  DATA	35000	638
fdrp	    473.26	  DATA	35000	638
 drp	    473.28	  DATA	35000	638
 snd	    473.31	   ACK	35638	0
 drp	    473.35	  DATA	35000	638
rdrp	    473.40	   ACK	35638	0
fdrp	    473.43	  DATA	35000	638
 drp	    473.46	  DATA	35000	638
rdrp	    473.48	   ACK	35638	0
 drp	    473.51	  DATA	35000	638
 snd	    473.53	   ACK	35638	0
 drp	    473.57	  DATA	35000	638
rdrp	    473.59	   ACK	35638	0
 drp	    473.63	  DATA	35000	638
rdrp	    473.65	   ACK	35638	0
fdrp	    473.69	  DATA	35000	638
fdrp	    473.72	  DATA	35000	638
fdrp	    473.75	  DATA	35000	638
 drp	    473.78	  DATA	35000	638
