 snd	    465.84	  DATA	26000	1000
 rcv	    466.95	   ACK	22000	0
 snd	    466.97	  DATA	22000	1000
 rcv	    467.40	   ACK	22000	0
 rcv	    467.56	   ACK	22000	0
 rcv	    467.71	   ACK	22000	0
 rcv	    467.89	   ACK	22000	0
 rcv	    468.06	   ACK	22000	0
 rcv	    468.21	   ACK	22000	0
 rcv	    468.35	   ACK	22000	0
 rcv	    468.55	   ACK	22000	0
 snd	    467.20	  DATA	23000	1000
 rcv	    468.72	   ACK	22000	0
 snd	    468.79	  DATA	22000	1000
 rcv	    468.94	   ACK	22000	0
 snd	    468.95	  DATA	22000	1000
 rcv	    469.13	   ACK	22000	0
 snd	    469.05	  DATA	23000	1000
 rcv	    469.28	   ACK	22000	0
 snd	    469.28	  DATA	22000	1000
 rcv	    469.49	   ACK	22000	0
 snd	    469.57	  DATA	22000	1000
 snd	    469.74	  DATA	22000	1000
 rcv	    469.70	   ACK	22000	0
 rcv	    469.93	   ACK	25000	0
 rcv	    470.11	   ACK	25000	0
 snd	    469.84	  DATA	23000	1000
 snd	    470.24	  DATA	25000	1000
 snd	    470.30	  DATA	26000	1000
 snd	    470.34	  DATA	27000	1000
 snd	    470.38	  DATA	28000	1000
 snd	    470.43	  DATA	29000	1000
 snd	    470.46	  DATA	30000	1000
 snd	    470.50	  DATA	31000	1000
 rcv	    470.43	   ACK	25000	0
 snd	    470.54	  DATA	25000	1000
 snd	    470.58	  DATA	26000	1000
 snd	    470.66	  DATA	27000	1000
 snd	    470.77	  DATA	28000	1000
 snd	    470.86	  DATA	29000	1000
 snd	    470.93	  DATA	30000	1000
 snd	    471.03	  DATA	31000	1000
 snd	    471.13	  DATA	25000	1000
 rcv	    471.14	   ACK	28000	0
 snd	    471.21	  DATA	26000	1000
 rcv	    471.30	   ACK	28000	0
 snd	    471.28	  DATA	27000	1000
 snd	    471.49	  DATA	28000	1000
 snd	    471.55	  DATA	29000	1000
 snd	    471.59	  DATA	30000	1000
 snd	    471.62	  DATA	31000	1000
 snd	    471.69	  DATA	32000	1000
 snd	    471.75	  DATA	33000	1000
 snd	    471.79	  DATA	34000	1000
 snd	    471.82	  DATA	28000	1000
 snd	    471.85	  DATA	29000	1000
 snd	    471.88	  DATA	30000	1000
 snd	    471.91	  DATA	31000	1000
 snd	    471.94	  DATA	32000	1000
 snd	    471.98	  DATA	33000	1000
 snd	    472.01	  DATA	34000	1000
 snd	    472.05	  DATA	28000	1000
 snd	    472.08	  DATA	29000	1000
 snd	    472.11	  DATA	30000	1000
 snd	    472.14	  DATA	31000	1000
 rcv	    472.02	   ACK	28000	0
 snd	    472.17	  DATA	32000	1000
 snd	    472.33	  DATA	33000	1000
 rcv	    472.43	   ACK	28000	0
 snd	    472.44	  DATA	34000	1000
 snd	    472.57	  DATA	28000	1000
 snd	    472.68	  DATA	29000	1000
 snd	    472.75	  DATA	30000	1000
 snd	    472.83	  DATA	31000	1000
 snd	    472.92	  DATA	32000	1000
 snd	    472.98	  DATA	33000	1000
 snd	    473.05	  DATA	34000	1000
 snd	    473.12	  DATA	28000	1000
 snd	    473.19	  DATA	29000	1000
 snd	    473.26	  DATA	30000	1000
 snd	    473.40	  DATA	31000	1000
 snd	    473.49	  DATA	32000	1000
 snd	    473.57	  DATA	33000	1000
 snd	    473.65	  DATA	34000	1000
 snd	    473.74	  DATA	28000	1000
 snd	    473.81	  DATA	29000	1000
 snd	    473.88	  DATA	30000	1000
 rcv	    473.87	   ACK	28000	0
 snd	    473.93	  DATA	31000	1000
 snd	    473.97	  DATA	32000	1000
 snd	    474.06	  DATA	33000	1000
 snd	    474.15	  DATA	34000	1000
 snd	    474.22	  DATA	28000	1000
 snd	    474.28	  DATA	29000	1000
 snd	    474.35	  DATA	30000	1000
 snd	    474.41	  DATA	31000	1000
 snd	    474.48	  DATA	32000	1000
 snd	    474.54	  DATA	33000	1000
 snd	    474.61	  DATA	34000	1000
 rcv	    474.66	   ACK	33000	0
 snd	    474.67	  DATA	28000	1000
 snd	    474.74	  DATA	29000	1000
